time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,144.8245391,1.379999995,8.856249809,0.622500002,90.36807202,23.7314549
1.72E+18,144.834793,1.647499919,7.403749943,0.393749982,90.36807202,23.7314549
1.72E+18,144.8450469,1.493749976,7.059999943,0.087499999,90.36807202,23.7314549
1.72E+18,144.855301,1.379999995,6.831249714,-0.256249994,90.36807202,23.7314549
1.72E+18,144.8655552,1.188750029,7.022500038,-0.828749955,90.36807202,23.7314549
1.72E+18,144.8758079,1.112499952,7.289999962,-1.019999981,90.36807202,23.7314549
1.72E+18,144.886062,1.112499952,7.557499886,-1.096249938,90.36807202,23.7314549
1.72E+18,144.8963159,1.149999976,7.901249886,-0.982499957,90.36807202,23.7314549
1.72E+18,144.9065701,1.456249952,7.901249886,-0.79124999,90.36807202,23.7314549
1.72E+18,144.916824,1.723749995,7.59499979,-0.676249981,90.36807202,23.7314549
1.72E+18,144.9270781,1.991249919,7.174999714,-0.484999985,90.36807202,23.7314549
1.72E+18,144.937332,2.639999866,6.105000019,-0.256249994,90.36807202,23.7314549
1.72E+18,144.9475859,2.793750048,5.913749695,-0.256249994,90.36807202,23.7314549
1.72E+18,144.9578401,3.022500038,5.684999943,-0.293749988,90.36807202,23.7314549
1.72E+18,144.968094,3.098749876,5.646249771,-0.256249994,90.36807202,23.7314549
1.72E+18,144.9783479,3.137500048,6.524999619,-0.484999985,90.36807202,23.7314549
1.72E+18,144.9886011,2.983749866,7.366250038,-0.561249971,90.36807202,23.7314549
1.72E+18,144.998855,2.907500029,8.321249962,-0.561249971,90.36807202,23.7314549
1.72E+18,145.0091091,2.716249943,9.31499958,-0.79124999,90.36805945,23.73146647
1.72E+18,145.019363,2.754999876,9.543749809,-0.638749957,90.36805945,23.73146647
1.72E+18,145.0296169,2.831249952,9.811249733,-0.371250004,90.36805945,23.73146647
1.72E+18,145.0398711,3.251250029,9.965000153,0.202500001,90.36805945,23.73146647
1.72E+18,145.050125,3.404999971,9.697500229,0.431249976,90.36805945,23.73146647
