,time,x,y,z,Latitude,Longitude
342,3.420453125,2.754499912,2.566299915,4.210599899,23.7672549,90.3537537
343,3.430453125,1.7421,1.514400005,5.327600002,23.7672696,90.3537645
344,3.440496875,1.482599974,0.443899989,6.045499802,23.7672638,90.3537806
345,3.45045625,2.362499952,-0.651799977,4.772900105,23.7672683,90.3537938
346,3.460454688,1.869799972,-1.120599985,1.495199919,23.7672546,90.3538045
347,3.470451563,0.669499993,-1.435499907,-2.639199972,23.7672479,90.3538139
348,3.48045625,-0.56949997,-0.90899998,-4.914899826,23.7672687,90.3538234
349,3.490453125,-0.997799993,0.948899984,-3.789299965,23.7672521,90.3538375
350,3.500495313,0.066299997,2.831899881,0.184599996,23.7672587,90.3538459
351,3.5104625,0.858999968,3.49759984,2.081799984,23.7672502,90.3538602
352,3.520453125,0.558899999,3.37349987,1.135599971,23.7672541,90.3538763
353,3.530453125,-1.200500011,3.635799885,-1.255399942,23.7672662,90.3538875
354,3.540453125,-3.268100023,4.242000103,-1.020599961,23.7672631,90.3539008
355,3.550454688,-2.369899988,3.919299841,0.825899959,23.7672653,90.3539117
356,3.5604625,0.800599992,2.14139986,0.80189997,23.7672692,90.3539232
357,3.570451563,1.534799933,1.15199995,-0.372799993,23.7672467,90.3539337
358,3.580454688,0.479900003,1.072700024,-0.600300014,23.7672561,90.3537458
359,3.590453125,0.135700002,0.432899982,0.312900007,23.7672524,90.3537593
360,3.600454688,0.55339998,-0.575399995,0.97239995,23.7672657,90.3537724
361,3.610464063,0.463099986,-1.278800011,1.237499952,23.7672669,90.3537856
362,3.620453125,-0.458199978,-0.940699995,0.48119998,23.7672614,90.3537972
363,3.630453125,-1.067399979,-0.18599999,-0.614099979,23.7672507,90.3538116
364,3.640453125,-0.800499976,0.045499999,-0.689599991,23.7672693,90.3538211
365,3.650453125,0.526300013,0.0735,-0.690299988,23.7672519,90.3538312
366,3.660464063,0.614300013,0.834899962,-0.168200001,23.7672625,90.3538438
367,3.670453125,-0.540699959,2.448499918,0.620199978,23.7672586,90.3538556
